Ordinance  Number,Date,Section,Section  this Code
,,17,"App. A, § 4321(b)"
,,18  Added,"App. A, § 4321(d)"
,,19  Added,"App. A, § 4326(c)"
,,20  Added,"App. A, § 4331(c)"
,,21  Added,"App. A, § 4331.1"
,,22,"App. A, § 4338(b)"
,,Added,"App. A, § 4338(d)"
,,23  Added,"App. A, § 4339(c)"
,,24  Added,"App. A, § 4341(d)"
,,25  Added,"App. A, § 4350(h)"
,,26  Added,"App. A, § 4410(f)"
,,27  Added,"App. A, § 4420(d)"
,,28  Added,"App. A, § 4430(e)"
,,29  Added,"App. A, § 4509(e)"
,,30,"App. A, § 4510(a)(tit.)"
,,Added,"App. A, § 4510(b)"
,,31  Added,"App. A, § 4511(e)"
,,32,"App. A, § 4512(a)(3)"
,,Added,"App. A, § 4512(c)"
,,33  Added,"App. A, § 4513"
,,34  Added,"App. A, § 4516(c)"
,,35  Added,"App. A, § 4521(e)"
,,36  Added,"App. A, §§ 4521.1—4521.4"
,,37  Added,"App. A, § 4522(c)"
,,38,"App. A, § 4523(tit.)"
,,39  Added,"App. A, § 4523.1"
,,40,"App. A, § 4524"
,,41  Added,"App. A, 4525(c)"
,,42  Added,"App. A, § 4526(b)"
,,43  Added,"App. A, § 4527(d)"
,,44  Added,"App. A, §§ 4528.1, 4528.2"
,,45  Added,"App. A, § 4531(b)"
,,46,"App. A, § 4541(a)"
,,Rnbd,"App. A, § 4541(b)—(g)"
,,as,"App. A, § 4541(1)—(7)"
,,Added,"App. A, 4541(b)"
,,47,"App. A, § 4542(b)(15), (c)"
,,48  Added,"App. A, §§4544—4546"
,,49  Added,"App. A, § 4552(b)"
,,50  Added,"App. A, § 4552.1"
,,51  Added,"App. A, § 4553(b)"
,,52  Added,"App. A, § 4555(d)"
,,53  Added,"App. A, § 4559(c)"
,,54  Added,"App. A, § 4561(c)"
,,55,"App. A, § 4564(b)"
,,Added,"App. A, § 4564(d)"
,,56  Added,"App. A, § 4565"
,,57  Added,"App. A, § 4605(c)"
,,58  Added,"App. A, § 4606"
,,59,"App. A, § 4626(a)"
,,Rnbd,"App. A, § 4626(a), (b)"
,,as,"App, A, § 4626(a)(1), (2)"
,,Added,"App. A, § 4626(b)"
,,60,"App. A, § 4720(b)(1)c."
,,Added,"App. A, § 4720(e)"
,,61  Added,"App. A, § 5120(g)"
,,62,"App. A, § 5220(b)"
,,63,"App. A, § 5330(b)(4)"
,,64,"App. A, § 5429"
,,65  Rpld,"App. A, § 5502(7)"
,,66,"App. A, § 5504(e)"
,,67,"App. A, § 5600(a), (b), (e)"
,,,"App. A, § 5601"
,,68,"App. B, § 4-209"
,,69  Rpld,"App. B, § 5-701(c)"
1309,8-13-02,1  Added,"Ch. 12, art. IV, div. 4(tit.)"
,,,§§ 12-650—12-658
1314,10- 8-02,6  Added,12-414(b)
,,Rnbd,12-414(b)
,,as,12-414(c)
,,Added,12-104(d)
,,Rnbd,12-414(c)
,,as,12-414(e)
,,7,12-503
1321,2-11-03,1  Added,6-400(c)
,,Added,6-402(c)
,,Rnbd,6-402(c)
,,as,6-402(d)
,,,6-403(a)
,,,6-404
1329,5-13-03,12,"18-109(a), (b)"
,,13,18-201(b)
,,14,24-301(b)
,,15,"24-306(a), (b)"
,,16,"18-400(a), (b)"
,,17,"24-602(a)(1), (2)"
,,18,20-206
1332,6-10-03,1,22-900
1333,5-10-03,1,22-701
1339,9- 9-03,1,"App. A, § 1213 A., C."
,,2,"App. A, § 1234(i)"
,,3,"App. A, § 1237(c)"
,,4,"App. A, § 2103"
,,5,"App. A, § 3123(e)(2)"
,,Added,"App. A, § 3123(e)(4)"
,,6  Rpld,"App. A, § 3142(f)"
,,7,"App. A, § 3181(a)"
,,8,"App. A, § 3191(a), (b)"
,,9,"App. A, § 3141"
,,10,"App. A, § 3243(a)"
,,,"App. A, § 3243(a)(1)"
,,Added,"App. A, § 3243(b)"
,,11,"App. A, § 3244(a)"
,,Added,"App. A, § 3244(b)"
,,Rnbd,"App. A, § 3244(b)"
,,as,"App. A, § 3244(c)"
,,12,"App. A, § 3245(a)"
,,Added,"App. A, § 3245(b)"
,,13,"App. A, § 3246(a)"
,,Added,"App. A, § 3246(b)"
,,14,"App. A, § 3247(e)"
,,15,"App. A, § 3251"
,,16  Rpld,"App. A, § 4225(b)(2)f.(1)—(3)"
,,17,"App. A, § 4328(b)(1)"
,,18  Added,"App. A, § 4333"
,,19,"App. A, § 4420(b)(2)"
,,20,"App. A, § 4430(c)(2)"
,,21,"App. A, § 4720(b)(4)d."
,,22,"App. A, § 5533(d)"
,,23,"App. A, § 5534(e)"
,,24  Added,"App. A, Div. 6, §§ 5600, 5601"
,,25  Rpld,"App. A, § 5769"
,,26,"App. A, § 5790(c)"
,,27,"App. A, §§ 4308(2), 4309(c), 4310(e), 4313(d), 4319(d), 4321(d), 4326(c), 4331(c), 4331.1, 4338(d), 4339(c), 4341(d), 4350(h), 4410(f), 4420(d), 4430(e), 4509(e), 4512(c), 4521(e), 4321.1, 4521.2, 4521.3, 4521.4, 4523.1, 4525(c), 4537(d), 4528.1, 4528.2, 4542(c), 4544, 4545, 4546, 4552.1, 4553(b), 4555(d), 4559(c), 4561(c), 4564(d), 4565"
,,28,"App. A, §§ 3022, 3041(b), 3051(b), 3061(b)"
,,29,"App. A, §§ 3081(a), 3091(a), 3111(a), 3121(a), 3141(a), 3151(a), 3161(a), 3181(a)"
,,30,"App. B, § 3-100(c)"
,,31,"App. B, § 4-404"
,,32,"App. B, § 5-318(d), (e)"
,,33,"App. B, § 5-403(b)(2)"
,,34,"App. B, § 5-500"
,,35,"App. B, § 5-501"
,,36,"App. B, § 5-502"
,,37,"App. B, § 5-503(a)—(d), (f), (g)"
,,38,"App. B, § 5-801(a)"
1340,8-12-03,1,"App. A, § 2103"
,,2,"App. A, § 3151(a)"
,,3  Added,"App. A, § 4501"
,,4  Added,"App. A, § 4501.5"
,,5,"App. A, § 5520(e)"
,,6  Added,"App. A, § 5503(17)"
1341,9- 9-03,1  Added,6-204(a)(15)
1343,9- 9-03,1,"12-414(b), (d)"
1344,9- 9-03,1,23-101
1345,10-14-03,1,13-102
,,2,13-103
1348,3- 9-04,1,18-500
,,2,18-502(g)(6)
1350,2-10-04,1,"App. A, § 3051(b)"
1351,1-13-04,1,22-221
,,2,22-222
1353,2-10-04,1,6-200
,,2,"6-205(tit.),"
,,,5-205(a)
,,Rpld,6-205(b)
,,Rnbd,6-205(c)
,,as,6-205(b)
,,3,6-500
1356,3- 9-04,2,"18-109(a), (b)"
1360,4-27-04,11.5,2-411
,,12,6-204(a)(1)—(8)
,,Added,6-204(a)(9)
,,Rnbd,6-204(a)(10)—(15)
,,as,6-204(a)(11)—(16)
,,Added,6-204(a)(17)—(19)
,,13,6-403(b)
,,14,"12-200(b), (c)"
,,,12-202
,,15,12-606(a)
,,16  Added,"ch. 12, div. 5(tit.),"
,,,12-660
,,17,18-512
,,18,21-501(c)
,,19,22-100
,,20,22-500
,,21,18-201(b)
,,22,"24-301(b)(1)a., b."
,,23,"24-206(a), (b)"
,,24,"18-400(a), (b)"
,,25,"24-602(a), (d)"
,,26,20-206
1361,5-11-04,1,"App. B, § 2-105"
1362,4-13-04,1,17-402
,,2,17-404
,,3,17-405
,,4,17-406
1363,4-13-04,1  Added,14-111
1364,6- 8-04,1,22-900
1365,7-27-04,1,23-224
1368,7-13-04,1,1-113
,,2,12-108(a)
,,3,12-112
,,4,14-107(a)
,,5,14-204
1369,10-12-04,1,"App. A, § 1237(c)"
,,2,"App. A, § 2103"
,,3,"App. A, § 3052(a)(2), (c)(1)"
,,4,"App. A, § 3062(a)(2)"
,,5,"App. A, § 3082(a)(2)"
,,6,"App. A, § 3092(a)(2)"
,,7,"App. A, § 3141(a)"
,,8,"App. A, § 3151(a)"
,,9,"App. A, § 3151(b)"
,,10,"App. A, § 3182(a), (b)"
,,11  Added,"App. A, § 3263(e)"
,,12  Rnbd,"App. A, § 4513"
,,as,"App. A, § 4514"
,,13  Added,"App. A, § 4513"
,,14,"App. A, § 4231(b)(13)"
,,15,"App. A, § 5220(e)"
,,16,"App. B, § 5-401(b)"
1372,9-14-04,1  Rpld,14-110
,,Added,14-110.5
1377,12-14-04,1,22-221(a)
,,2,22-222
1380,4-26-05,12  Added,6-204(a)(20)
,,13,22-500
,,14,"18-201(b)(1), (2)"
,,15,"24-301(b)(1)a., b."
,,16,"24-306(a), (b)"
,,17,"18-400(a)(1), (2)"
,,,"18-400(b)(1), (2)"
,,18,"24-602(a)(1), (2)"
,,,24-602(d)
,,19,20-206
,,20(Exh. 1),2-411
1383,4-26-05,1,22-900
1387,6-14-05,1,6-400-6-409
,,2  Rpld,24-107(5)
1388,7-12-05,1,2-411
,,2,"10-103, 10-106, 10-107"
1392,7-12-05,1,"11-101, 11-306,"
,,,"11-308, 11-309"
,,Added,11-310
1393,8- 9-05,1  Added,20-105
1394,8- 9-05,1,9-101
1395,9-13-05,1  Added,"App. B, § 4-600(c)"
,,,"App. B, § 4-602"
,,Added,"App. B, § 4-603(d)"
1397,10-11-05,1,"App. B, § 5-401(b)"
,,2,"App. A, § 3141(a)"
,,Added,"App. A, § 3142(f)"
1398,10-11-05,1,10-102
,,,10-200(a)
,,Added,10-200(f)
,,,10-201
,,,10-206(b)
,,,10-213(a)
1401,11- 8-05,1,23-223
1405,8- 8-06,1,"App. A, § 2103"
,,2  Added,"App. A, § 4320"
,,3,"App. A, § 5720(a)"
,,Added,"App. A, § 5720(c)"
1411,2-14-06,1,ch. 16
1414,4-25-06,1,18-201(b)
,,2,"18-400(a), (b)"
,,3,20-2016
,,4,24-301(b)
,,5,"24-306(a), (b)"
,,6,"24-602(a), (d)"
,,7,24-607(d(
1415,7-11-06,1,"App. A, § 1152(a)"
,,2,"App. A, § 1163"
,,3  Rpld,"App. A, § 1238"
,,Rnbd,"App. A, § 1239"
,,as,"App. A, § 1238"
,,4,"App. A, § 2103"
,,5,"App. A, § 3032(d)"
,,6,"App. A, § 3091(a)"
,,7,"App. A, § 3113(a)"
,,8,"App. A, § 3141(b)"
,,9,"App. A, § 3151(a), (b)"
,,10,"App. A, § 3161(a)"
,,11,"App. A, § 3181(b)"
,,12,"App. A, § 3191(a), (b)"
,,13,"App. A, § 3263(d)(3)"
,,14,"App. A, § 4220(c)"
,,15,"App. A, § 4509(d)"
,,16  Rpld,"App. A, § 4511(b), (c)"
,,Rnbd,"App. A, § 4511(d), (e)"
,,as,"App. A, § 4511(b), (c)"
,,17,"App. A, § 4516(b)"
,,18  Added,"App. A, § 4527(a)(1)—(3)"
,,Rnbd,"App. A, § 4527(a)(1)"
,,as,"App. A, § 4527(a)(4)"
,,,"App. A, § 4527(a)(4)"
,,Rpld,"App. A, § 4527(a)(2)"
,,Rnbd,"App. A, § 4527(a)(3)"
,,as,"App. A, § 4527(a)(5)"
,,Added,"App. A, § 4527(a)(6)—(8)"
,,Rpld,"App. A, § 4527(b)(6)—(8)"
,,Rnbd,"App. A, § 4527(b)(9)"
,,as,"App. A, § 4527(b)(6)"
,,Rpld,"App. A, § 4527(b)(10)"
,,Rnbd,"App. A, § 4527(b)(11)—(15)"
,,as,"App. A, § 4527(b)(7)—(11)"
,,Rpld,"App. A, § 4527(b)(16), (17)"
,,,"App. A, § 4527(c)"
,,Rpld,"App. A, § 4527(d)"
,,19,"App. A, § 4703(a)(1)"
,,20  Added,"App. A, § 4721"
,,21  Added,"App. A, § 4722"
,,22,"App. A, § 5202(c)"
,,23,"App. A, § 5502(4)"
,,24,"App. A, § 5521(d)"
,,25,"App. A, § 5532(e)"
,,26,"App. A, § 5533(d)"
,,27,"App. A, § 5534(e)"
,,28,"App. A, § 5535(d)"
,,29,"App. A, § 5536(d)"
,,30  Added,"App. A, § 5730(f)"
,,31,"App. B, § 2-104(e)"
,,32,"App. B, § 4-101"
,,33,"App. B, § 4-205(c)"
,,34,"App. B, § 4-207(c)"
,,Added,"App. B, § 4-207(d)"
,,Rnbd,"App. B, § 4-207(d)"
,,as,"App. B, § 4-207(e)"
,,,"App. B, § 4-207(e)"
,,35,"App. B, § 5-318(d)"
,,36,"App. B, § 5-403(a)(1)"
,,,App. B. § 5-402(b)(1)(a)—(c)
1416,7-11-06,1,"App. A, § 3141(b)"
,,2,"App. A, § 3151(b)"
,,3,"App. A, § 3181(b)"
,,4,"App. A, § 4606"
,,5  Added,"App. A, § 4607"
1418,7-11-06,1,"5-204(a),"
,,,5-204(c)—(e)
,,,"5-204(j), (k)"
,,Added,"5-204(l), (m)"
,,2,6-209(c)
,,3,12-112
,,4,16-201(b)
,,5,22-705
1420,7-11-06,1,20-120(a)
,,Rpld,"20-120(b), (c)"
,,Rnbd,"20-120(d), (e)"
,,as,"20-120(b), (c)"
,,2,20-121
,,3,22-129
,,4,"24-314(a), (c)"
1429,12-12-06,,13-103
1431,12-12-06,,22-221
,,,22-222
1432,12-12-06,,24-115(c)
,,,24-116
,,,24-310(a)
,,,"24-601(c), (d)"
,,,24-606(b)
,,,24-607(e)
,,,24-608
1433,2-13-07,,"App. A, § 1150(a)(4)"
,,Added,"App. A, § 1150(f)"
,,,"App. A, § 1182(d), (e)"
1439,4-10-07,,"App. A, § 2103"
,,Added,"App. A, art. III, div. 28,"
,,,§§ 3300—3305
,,,"App. A, § 4216(a)(6)"
,,,"App. A, § 4231(b)(11)"
,,,"App. A, § 4241(a)(1), (3), (6)"
,,,"App. A, § 4308(2)"
,,,"App. A, § 4309(c)"
,,,"App. A, § 4310(e)"
,,,"App. A, § 4313(d)"
,,,"App. A, § 4319(d)"
,,,"App. A, § 4321(d)"
,,,"App. A, § 4326(c)"
,,,"App. A, § 4331(c)"
,,,"App. A, § 4331.1(1)"
,,,"App. A, § 4338(d)"
,,,"App. A, § 4339(c)"
,,,"App. A, § 4341(d)"
,,,"App. A, § 4350(h)"
,,,"App. A, § 4410(f)"
,,,"App. A, § 4420(d)"
,,,"App. A, § 4430(e)"
,,,"App. A, § 4510(b)"
,,,"App. A, § 4511(c)"
,,,"App. A, § 4512(c)"
,,,"App. A, § 4514"
,,,"App. A, § 4521(e)"
,,,"App. A, § 4521.1"
,,,"App. A, § 4521.3"
,,,"App. A, § 4521.4"
,,,"App. A, § 4528.1"
,,,"App. A, § 4528.2"
,,,"App. A, § 4542(c)"
,,,"App. A, § 4546"
,,,"App. A, § 4552(b)"
,,,"App. A, § 4552.1"
,,,"App. A, § 4553(b)"
,,,"App. A, § 4555(d)"
,,,"App. A, § 4559(c)"
,,,"App. A, § 4561(c)"
,,,"App. A, § 4564(d)"
,,,"App. A, § 4703(c)"
,,,"App. A, § 5310(i)"
,,,"App. A, § 5426(a)"
,,Added,"App. A, § 5537"
,,,"App. A, § 5601(d)"
,,,"App. A, § 5719(a)"
1442,3-13-07,1,"12-200(b), (c)"
,,,12-202
,,,12-203
,,,"12-205(a), (c)"
,,,12-212
1447,4-24-07,1,18-201(b)
,,,18-400
,,,20-206
,,,24-301(b)(1)
,,,24-306
,,,24-314(a)
,,,"24-602(a), (d)"
1450,5-29-07,1,"App. A, § 2103"
,,,"App. A, § 3151(b)"
,,Added,"App. A, § 4560"
1451,5- 8-07,1,23-100
,,,23-101(A)4.
,,Added,23-101(A)13.
,,2  Rpld,23-102
1452,7-10-07,1  Added,12-310
1454,8-14-07,1,18-403
,,,18-404
,,,24-608
1455,8-14-07,1  Added,2-300(d)
,,,16-116(1)
1456,8-14-07,,4-301(a)
,,,4-401(c)
,,,5-200(b)(2)
,,,5-202(d)
,,,7-109(c)
,,,8-103(a)(2)
,,,11-101
,,,11-301
,,,11-308(d)
,,,11-400(a)(1)
,,,"11-500(a), (b)"
,,,11-504(c)
,,,12-203(b)
,,,12-414(c)
,,,12-500
,,,12-502(a)
,,,12-602(a)
,,,"12-612(a), (e)"
,,,14-101
,,,14-102(1)
,,,14-107(a)
,,,14-202(a)
,,,"16-304(a), (f)"
,,,"16-402(a), (b)"
,,,17-308(b)(6)a.
,,,18-100
,,,18-305(a)
,,,18-603(a)
,,,20-209
,,,"21-612(d), (g)"
,,,22-127
,,,23-111(a)
,,,24-613
1457,8-14-07,1,23-110
1458,9-11-07,1,12-113
1462,11-13-07,1,10-100
,,,10-102—10-104
,,,"10-105(b), (c), (f)"
,,Added,"10-105(g), (h)"
,,,"10-106(a), (c)"
,,,10-107
,,,10-108
,,,"10-200(a), (c), (e), (f)"
,,,10-201(a)
