Ord. No.,Description,Date  Adopted,Effective Date,Notes
14-07,Amending special assessment for Lewistown Commerce Center Community Development Authority;  authorizing amended and restated special assessment agreement with Community Development  Authority,6-25-2014,6-25-2014,
14-11,"Amending the Hanover County Drainage Design Handbook dated February 12, 2014 and adopting  the revised Drainage Design Handbook including changes necessary to obtain state approval  of Hanover County's stormwater management program",11-12-2014,11-12-2014,"Chapter 10, Environmental Management (editor's note)  Chapter 12, Floodplain and Drainage Control (Editor's Note)"
14-14,"Amending Ord. 10-01, which established the Hanover County Recycling Service District",12-10-2014,7- 1-2015,"Chapter 22, Taxation (Editor's Note)"
15-02,Bed and breakfasts in AR districts,4-22-2015,4-22-2015,
15-03,Planning department fees,4-15-2015,4-15-2015,
15-08,"Polling place change—Farrington Precinct, South Anna District",8-26-15,8-26-15,"Chapter 8, Elections (Editor's Note)"
15-14,An Ordinance to continue Agricultural and Forestral Districts in accordance with the  provisions of Chapter 43 of Title 15.2 of the Code of Virginia.,9- 9-15,9- 9-15,"Chapter 26, Zoning Ordinance (Editor's Note)"
16-01,"Amending Ord. 10-01, which established the Hanover County Recycling Service District",2-24-16,7- 1-16,"Chapter 22, Taxation (Editor's Note)"
16-04,Erosion and sediment control fees,4-13-16,7- 1-16,
16-06,"Amending the provisions of Ord. 07-12, which established the Norway and Isabell's  Store Overlay Historic Preservation District",3-23-16,3-23-16,
18-01,"Amending Ord. 10-01, which established the Hanover County Recycling Service District",2-28-18,2-28-28,"Chapter 22, Taxation (Editor's Note)"
18-11,"Amending Ord. 10-01, which established the Hanover County Recycling Service District",1-23-19,7-1-19,"Chapter 22, Taxation (Editor's Note)"
19-02,Amending the schedule of fees established to defray the cost of inspections for the  erosion and sediment control program and re-inspections of storm drainage improvements,4-10-19,7- 1-19,
19-03,"Granting relief to Barbara Leadbetter Taylor, Linda Leadbetter Pomfrey, and Betsy  Leadbetter Craig by Paying to them a portion of the surplus funds received by Hanover  County from the Hanover County Circuit Court from the delinquent real estate tax sale  of the parcel designated as GPIN 7820-26-5778 pursuant to Virginia Code Section 58.1-3967",4-24-19,4-24-19,
19-06,"Amending the Hanover County Drainage Design Handbook dates November 12, 2014 and adopting  the revised Drainage Design Handbook to better provide for administration of matters  related to stormwater management, floodplain, grading and drainage control facilities",9-25-19,9-25-19,"Chapter 10, Environmental management (editor's note)  Chapter 12, Floodplain and Drainage Control (editor's note)"
19-09,"Grants relief to Faircloth Realty Investments, on behalf of Gwendolyn View, by paying  it the surplus funds received by Hanover County from the Hanover County Circuit Court  from the delinquent real estate tax sale of the Parcel designated on GPIN 7863-82-7700",4-15-20,4-15-20,
20-01,Solid waste disposal fees,5- 6-20,7- 1-20,
20-03,Planning department fees,5- 6-20,7- 1-20,
20-08,Continuity of government—COVID-19,5-13-20,5-13-20,
20-09,Ratepayer and taxpayer relief—COVID-19,5-13-20,5-13-20,
20-11,"An Ordinance to provide that class three electric power-assisted bicycles, as defied  in Section 46.2-100 of the Code of Virginia, shall be prohibited on bicycle and shared-use  paths and trails within Hanover County Parks and other County Facilities",10-28-20,10-28-20,
20-13,"Amending Ordinance 10-01, which established the Hanover County Recycling Service",1-27-21,7- 1-2021,"Chapter 22, Taxation (Editor's Note)"
21-02,Amending Hanover County Solid Waste Disposal Fees,4-14-2021,7- 1-2021,
