Virginia,Section  this Code
"15.2-2259(C), (D)  29-58(c)","15.2-2259(C), (D)  29-58(c)"
,29-77(b)(5)
15.2-2260,34-823(d)
"15.2-2260(D), (E)  29-77(a)(6)","15.2-2260(D), (E)  29-77(a)(6)"
15.2-2260(F),29-37(a)
,29-77(a)(5)
15.2-2261,"29-37(b), (c)"
15.2-2261(C),29-82(a)(1)
,29-82(b)(2)
15.2-2271,29-234(4)
15.2-2271—15.2-2274  29-38(a),15.2-2271—15.2-2274  29-38(a)
15.2-2272,29-38(c)
,29-234(4)
15.2-2274,29-38(c)
15.2-2280,34-240(a)
15.2-2280 et seq.  34-1,15.2-2280 et seq.  34-1
15.2-2291,34-1200
15.2-2292,34-1194
15.2-2292.1,34-1194(a)
15.2-2303,34-61
15.2-2306,28-238
,34-1200
15.2-2307,34-9(c)
15.2-2316.3,28-236
15.2-2316.4,28-235
,28-236
15.2-2316.4:1,28-237
,34-106(a)
15.2-4900 et seq.  2-389,15.2-4900 et seq.  2-389
15.2-4902,22-5(6)
15.2-5102,10-35(g)
"16.1-69.1 et seq.  Char., § 33","16.1-69.1 et seq.  Char., § 33"
16.1-241(A)(1),17-7(g)b.3.
16.1-253,17-25
16.1-253.1,17-25
16.1-260(H)(1),17-7(g)a.2.
,17-7(g)b.3.
16.1-278 et seq.  15-3(a)(3),16.1-278 et seq.  15-3(a)(3)
16.1-278.6,17-7(g)b.3.
16.1-279,17-25
16.1-279.1,17-25
16.1-301,4-261
16.1-309.2 et seq.  22-5(2),16.1-309.2 et seq.  22-5(2)
16.1-310 et seq.  25-86,16.1-310 et seq.  25-86
16.1-333,17-7(a)
17-119.1:1,"Char., § 45"
18.2-1 et seq.,Ch. 17
18.2-9,1-11
18.2-11,1-11
,15-2
18.2-27,17-1
18.2-57,17-3
18.2-96,17-14
18.2-111,30-286(b)
18.2-119,20-11
18.2-119—18.2-121,17-25—17-27
18.2-127,7-10
18.2-137,17-22
18.2-144.1,20-10
18.2-146—18.2-148,17-24
18.2-152,15-180
18.2-162.1,31-122
18.2-163,31-105
18.2-181—18.2-185,17-16—17-20
18.2-187.1,6-6
18.2-212,12-3
,17-9
"18.2-223, 18.2-224","Ch. 27, Art. II"
18.2-266,1-12(a)
18.2-266 et seq.  15-3(a)(2),18.2-266 et seq.  15-3(a)(2)
18.2-286,33-9
18.2-308,33-5
,33-5(a)(3)
,33-5(e)(3)
18.2-309,33-4
18.2-316,17-35
18.2-318,17-36
18.2-319,17-33
18.2-324,28-23
18.2-325.1,34-1200
18.2-340.1,3-26
18.2-340.1 et seq.  3-63(1)(a),18.2-340.1 et seq.  3-63(1)(a)
18.2-340.2,"3-61, 3-62"
,3-64
18.2-340.3,3-63
,3-65—3-68
18.2-340.4,3-37
18.2-340.5,3-40
18.2-340.6,3-41(d)
18.2-340.6A,3-41
18.2-340.6B1,3-41
,3-70
18.2-340.6B2,3-42
18.2-340.6B3,3-43
,3-70
18.2-340.6C,3-28
18.2-340.7,3-44
18.2-340.8,"Ch. 3, Art. II"
18.2-340.9B,3-32
18.2-340.9C,3-34
18.2-340.9D,3-37
18.2-340.9E,"3-30, 3-31"
18.2-340.9F,3-33
18.2-340.9G,"3-35, 3-36"
18.2-340.9H,3-35
18.2-340.10,3-27
,3-69
18.2-340.11,3-27
18.2-340.12,3-69
18.2-340.13,3-38
18.2-340.14,3-29
"18.2-341, 18.2-342  17-2","18.2-341, 18.2-342  17-2"
18.2-387,17-13
"18.2-388, 18.2-389  17-12","18.2-388, 18.2-389  17-12"
18.2-415,17-10
18.2-432,3-1
18.2-461,20-8
18.2-463,20-9
19.2-13,15-130
19.2-26 et seq.,"Char., § 18"
19.2-74,1-12
19.2-82,"1-12(a), 1-12(b)"
,1-12(d)
19.2-387 et seq.  1-12(c),19.2-387 et seq.  1-12(c)
19.2-389A.7,20-5(a)
19.2-390,1-12(c)
21-292 et seq.,29-3
22.1-28 et seq.,"Ch. 2, Art. X"
22.1-48 et seq.,"Char., § 45-a"
22.1-90,2-343
22.1-92,2-343
22.1-116,11-66
23-232 et seq.,33-5(d)(6)
24.1-1 et seq.,"Char., § 47"
,Ch. 9
24.1-86,2-181
,11-36
,11-61
24.1-165,"Char., § 51"
24.1-233.1,9-31
24.2-222,2-35(a)
24.2-222.1,2-35(a)
24.2-222.1(D),2-35(b)
24.2-307,9-26
25-46.1 et seq.,"Char., § 51"
"Tit. 25.1, ch. 2",18-12
26-38 et seq.,19-64
26-40 et seq.,11-7
27-1 et seq.,Ch. 12
27-6.1 et seq.,"Ch. 12, Art. II"
27-37.1,12-19(b)
27-94 et seq.,12-31(d)
27-94—27-101,12-52
27-97,12-31(a)
27-98,12-52
27-100,12-51
32.1-111.14,12-40
,12-42(b)
29.1-200 et seq.  33-5(d)(2),29.1-200 et seq.  33-5(d)(2)
29.1-528.1,33-9
32.1-163—32.1-166,"Ch. 31, Art. III"
32.1-167—32.1-176,"Ch. 31, Art. III"
33.1-346,26-1
35.1-25,34-1200
36-85.3,30-31(a)(4)
,30-98(1)
36-85.16,34-1200
36-97 et seq.,5-26
36-99.11,15-133(a)
36-99.11,15-133(a)
"36-105  Ch. 5, Art. II, Div. 2","36-105  Ch. 5, Art. II, Div. 2"
36-106,5-1
42.1-33—42.1-45,Ch. 13
42.1-38 et seq.,13-26
"42.1-72, 42.1-73  13-33","42.1-72, 42.1-73  13-33"
42.1-74,13-34
42.1-82,29-110(a)(1)
43-32—43-36,15-275(a)
tit. 45.1  10-22(a)(6),tit. 45.1  10-22(a)(6)
tit. 46.2,"1-12(a), 1-12(b)"
,15-3(a)(1)
46.2-100,15-39(a)
,15-101(b)(1)
,15-242(e)
,15-244(d)
,15-246(a)
,15-251(b)
,17-32(a)
,"30-31(a)(3), (5)"
,30-39(b)
,30-316
46.2-113,15-2
46.2-337,15-244(a)
46.2-371 et seq.  15-9,46.2-371 et seq.  15-9
46.2-381,15-9
46.2-388,1-12(f)
46.2-613,15-8
46.2-617,15-274(a)
46.2-632,30-168(a)(6)
46.2-633,30-168(a)(6)
46.2-634,30-168(a)(6)
46.2-730(C),30-31(a)(5)
46.2-731,15-132(a)—(c)
46.2-731,"15-133(b), (c)"
46.2-739(B),15-132(a)—(c)
46.2-739(B),"15-133(b), (c)"
46.2-752(J),"15-37(c), (f)"
46.2-755,15-38(a)(3)
46.2-800,15-240
46.2-800 et seq.  15-240,46.2-800 et seq.  15-240
46.2-870 et seq.,"Ch. 15, Art. IV"
46.2-871,15-97
46.2-873,15-98
"46.2-874, 46.2-875  15-96","46.2-874, 46.2-875  15-96"
46.2-877,15-100
46.2-878.2,15-101(a)
46.2-904,15-246
46.2-905,"15-243, 15-244"
46.2-906.1,15-252
46.2-908,15-237
46.2-914,15-242
46.2-924,15-75
46.2-932,15-248
46.2-936,26-1(b)
46.2-941,15-149(f)
46.2-1015,15-241
46.2-1037,15-146
46.2-1078,15-253
46.2-1200,15-271
46.2-1201,"Ch. 15, Art. VII"
,15-272
46.2-1202—46.2-1206  15-273—15-277,46.2-1202—46.2-1206  15-273—15-277
46.2-1213,"Ch. 15, Art. VIII"
,15-302(d)
46.2-1220,"Ch. 15, Art. V"
"Ch. 15, Art. V, Div. 2","Ch. 15, Art. V, Div. 2"
,15-149
,15-150
46.2-1237,15-133
46.2-1238,15-132
46.2-1239,15-129
46.2-1240,15-132(d)
46.2-1241,15-132(a)—(c)
46.2-1241,"15-133(b), (c)"
46.2-1300,15-3(a)
,15-96(2)
,15-99
46.2-1300—46.2-1314  Ch. 15,46.2-1300—46.2-1314  Ch. 15
46.2-1302,15-7
46.2-1304,15-73
46.2-1313,15-3(a)
49-1,11-61
51-111.9 et seq.,"Ch. 19, Art. IV"
51.1-143.1,19-95.3(a)
51.1-801.1,19-95.3(a)
51.1-803,19-145
53.1-29,33-5(e)(4)
53.1-105 et seq.,"Ch. 2, Art. XI"
54.1-400 et seq.  10-52(c)(11),54.1-400 et seq.  10-52(c)(11)
54.1-1128,5-57(a)
54.1-2900,14-18(f)(9)
54.1-4100,21-26
"54.1-4101A, 54.1-4101B  21-34","54.1-4101A, 54.1-4101B  21-34"
54.1-4101C,21-30
54.1-4102,21-33
54.1-4103—54.1-4105  21-35—21-37,54.1-4103—54.1-4105  21-35—21-37
"54.1-4106, 54.1-4107  21-31","54.1-4106, 54.1-4107  21-31"
54.1-4108A,21-56
54.1-4108B,21-58
,21-60
54.1-4108C,21-59
54.1-4108D,"21-62, 21-63"
54.1-4108E,21-32
"54.1-4109B, 54.1-4109C  21-27, 21-28","54.1-4109B, 54.1-4109C  21-27, 21-28"
54.1-4110A,21-29
54.1-4110B,21-64
54.1-4111,"Ch. 21, Art. II"
55-79.41,14-4(8)
55-210.1 et seq.  20-58(b)(1),55-210.1 et seq.  20-58(b)(1)
55-248.4,5-3(a)
55-508 et seq.,34-62(4)
55-528,10-56(b)(1)
,10-104(c)
56-265.14 et seq.  22-4(k),56-265.14 et seq.  22-4(k)
56-345 et seq.,Ch. 23
56-412.1,23-7
56-484.26,28-236
,28-239
56-484.29,28-238
56-484.30,28-238
56-484.31,28-238
,28-242
57-22 et seq.,Ch. 7
tit. 58.1,"Char., § 20"
,30-6
58-762,"Char., § 20"
58-1014—58-1020,"Char., § 20"
58-1101—58-1108,"Char., § 20"
58.1-1 et seq.,Ch. 30
58.1-3,11-69
58.1-15,10-10(c)
,30-349
58.1-520 et seq.  30-41(b),58.1-520 et seq.  30-41(b)
58.1-600 et seq.  30-196,58.1-600 et seq.  30-196
58.1-600 et seq.  30-284(d)(10),58.1-600 et seq.  30-284(d)(10)
,30-316
,30-318
58.1-605,"30-196, 30-197"
58.1-608,30-318
58.1-628,30-197
58.1-814,30-371
58.1-1200 et seq.,"14-4(a)(11), (12)"
,30-347(a)
58.1-1201,30-346
58.1-1204,30-347(a)
58.1-1205,30-346
,30-348(a)
58.1-1207,"30-348(a), 30-348(b)"
58.1-1208,30-347
58.1-1211,30-347(b)
58.1-1212,30-348(b)
58.1-1718,30-396
58.1-3000 et seq.  Ch. 30,58.1-3000 et seq.  Ch. 30
58.1-3110,14-9(e)
58.1-3123,14-17(c)(3)
"58.1-3200 et seq.  Ch. 30,  Art. III","58.1-3200 et seq.  Ch. 30,  Art. III"
,30-72
,30-73(b)
58.1-3210,"Ch. 30, Art. IV"
,30-97
,30-101
58.1-3210—58.1-3212  30-98,58.1-3210—58.1-3212  30-98
58.1-3213,30-99
58.1-3214,30-96
"58.1-3215, 58.1-3216  30-102, 30-103","58.1-3215, 58.1-3216  30-102, 30-103"
"58.1-3217, 58.1-3218  30-96, 30-97","58.1-3217, 58.1-3218  30-96, 30-97"
58.1-3219,30-476
58.1-3219.5,30-476
58.1-3221.2,30-160.4(2)
58.1-3221.2.C,30-160.4(2)
58.1-3222,30-65
58.1-3253,30-61
58.1-3292,30-65.1
58.1-3303,30-68
58.1-3330,30-73(a)
58.1-3370 et seq.  30-69,58.1-3370 et seq.  30-69
58.1-3378,30-73(c)(1)
58.1-3379,30-73(c)(2)
58.1-3378—58.1-2284  30-73,58.1-3378—58.1-2284  30-73
58.1-3400,30-3
"58.1-3400 et seq.  30-1, 30-2","58.1-3400 et seq.  30-1, 30-2"
58.1-3400—58.1-3407  30-1,58.1-3400—58.1-3407  30-1
58.1-3500 et seq.  30-31,58.1-3500 et seq.  30-31
58.1-3503,30-31(a)
,30-323
"58.1-3504, 58.1-3505  30-32","58.1-3504, 58.1-3505  30-32"
58.1-3507,30-33
58.1-3510,30-316
,30-323
58.1-3510.1,30-316—30-318
58.1-3510.2,30-319
58.1-3510.3,30-318
58.1-3511,30-34
,30-34(b)
58.1-3515,30-34
58.1-3516,30-5(e)
58.1-3518,30-34(c)
"58.1-3518, 58.1-3519  30-35, 30-36","58.1-3518, 58.1-3519  30-35, 30-36"
58.1-3600 et seq.  30-1,58.1-3600 et seq.  30-1
58.1-3661A,30-127
58.1-3661B,30-126
58.1-3661C,"30-131, 30-132"
"58.1-3661D,  58.1-3661E","30-133, 30-134"
"58.1-3700 et seq.  Char., § 22","58.1-3700 et seq.  Char., § 22"
58.1-3701,14-2
,14-8(b)
58.1-3700.1,30-34(c)
58.1-3703.1,14-2
58.1-3712,14-4(a)(5)
58.1-3713,14-4(a)(5)
58.1-3714(B),14-2
58.1-3714(D),14-2
58.1-3715,14-2
,14-7(a)(1)
,14-11(a)
58.1-3718,14-4(a)(6)
58.1-3720,14-23(5)
58.1-3731,14-4(a)(1)
"58.1-3800, 58.1-3801  30-371, 30-372","58.1-3800, 58.1-3801  30-371, 30-372"
58.1-3803,30-373
"58.1-3805, 58.1-3806  30-396, 30-397","58.1-3805, 58.1-3806  30-396, 30-397"
58.1-3812,30-221
,30-222
,30-227(b)(1)
58.1-3813,30-400
58.1-3814,30-222
58.1-3819,30-253 (note)
58.1-3826,30-255 (note)
58.1-3830 et seq.,2-481
58.1-3830(A),2-482
58.1-3833(C),30-286(b)
58.1-3840,30-253
,30-283
58.1-3895 et seq.  5-4(b),58.1-3895 et seq.  5-4(b)
58.1-3900 et seq.  30-322,58.1-3900 et seq.  30-322
58.1-3903,14-5(c)
58.1-3912—58.1-3914  30-161—30-163,58.1-3912—58.1-3914  30-161—30-163
58.1-3916,30-161
,30-164
58.1-3919,15-37(f)
,30-164(c)(1)
,30-165
,30-167
58.1-3921—58.1-3923  30-168,58.1-3921—58.1-3923  30-168
58.1-3924,"30-169, 30-170"
"58.1-3927, 58.1-3928  30-171, 30-172","58.1-3927, 58.1-3928  30-171, 30-172"
58.1-3933,30-172
58.1-3940,14-5(d)
58.1-3940 et seq.  5-4(b),58.1-3940 et seq.  5-4(b)
,30-165
58.1-3952,30-41(b)
58.1-3958,30-164
58.1-3965 et seq.  30-172,58.1-3965 et seq.  30-172
,30-172(a)
58.1-3980,"14-2, 30-5(b)(2)"
58.1-3980 et seq.  30-6(a),58.1-3980 et seq.  30-6(a)
58.1-3981,"14-2, 30-5(b)(2)"
58.1-3983.1,30-5(b)(2)
58.1-3983.1(D)(1)  14-6(c),58.1-3983.1(D)(1)  14-6(c)
58.1-3984,14-2
,14-6(c)
,30-3
,30-5(b)(2)
,30-6(a)
,30-74
58.1-3986,14-8(b)
58.1-3993,14-8(b)
59.1-142 et seq.  12-56,59.1-142 et seq.  12-56
59.1-148,12-56
62.1-44.2 et seq.  10-5,62.1-44.2 et seq.  10-5
62.1-44.2—62.1-44.34:28  10-2,62.1-44.2—62.1-44.34:28  10-2
62.1-44.15:24 et seq.  10-5,62.1-44.15:24 et seq.  10-5
,10-5
62.1-44.15:27,10-2
,10-50(a)
,10-52
62.1-44.15:28,10-10(b)
62.1-44.15:33(C),10-54(e)(2)
62.1-44.34:8,12-19(b)
62.1-44.15:35,10-53(c)(10)
62.1-44.15:39,10-57(d)
62.1-44.15:40,10-57(f)
62.1-44.15:42,10-59(b)
62.1-44.15:48(A),10-59(d)(2)
,10-59(e)
62.1-44.15:48(D),10-59(b)
62.1-44.15:49,10-52
62.1-44.15:51 et seq.  10-5,62.1-44.15:51 et seq.  10-5
,10-21(b)
62.1-44.15:53,10-42(d)
62.1-44.15:54,10-2
,10-33
62.1-44.15:55,10-36(3)
,10-37(c)
,10-35(g)
62.1-44.15:56,10-21(c)
62.1-44.15:58,10-40(b)(1)
,10-40(b)(2)
,10-40(b)(3)
,10-41
62.1-44.15:60,10-40(b)(1)
63.1-1 et seq.  Ch. 25,63.1-1 et seq.  Ch. 25
63.1-38.1,25-27
63.1-43.1,25-1
,25-1(b)(6)
63.1-50 et seq.  25-28,63.1-50 et seq.  25-28
63.1-59.1,25-27
63.1-67.1 et seq.  25-27,63.1-67.1 et seq.  25-27
63.1-87,22-9(b)(2)
63.2-100,22-5(2)
63.1-106,25-57
63.1-164,14-4(a)(14)
63.1-183—63.1-194,25-2
63.1-185,25-2
63.1-195,24-4
63.2-100,22-5(2)
,34-1200
65.2-603,19-154(b)
1251 et seq.  10-2,1251 et seq.  10-2
